ID PUMA,PUMA,ID Year,Year,Total Population,Slug PUMA,
79500US1306002,"Henry County (North)Stockbridge City PUMA, GA",2018,2018,111023,henry-county-northstockbridge-city-puma-ga,
79500US1500100,"Maui, Kalawao & Kauai Counties PUMA, HI",2018,2018,236886,maui-kalawao-kauai-counties-puma-hi,
79500US1500200,"Hawaii County PUMA, HI",2018,2018,197631,hawaii-county-puma-hi,
79500US1500301,"Rural Oahu PUMA, HI",2018,2018,106154,rural-oahu-puma-hi,
79500US1500302,"Koolaupoko PUMA, HI",2018,2018,112205,koolaupoko-puma-hi,
79500US1500303,"East Honolulu to Kapahulu PUMA, HI",2018,2018,105011,east-honolulu-to-kapahulu-puma-hi,
79500US1500304,"Tantalus to Waikiki PUMA, HI",2018,2018,121647,tantalus-to-waikiki-puma-hi,
79500US1500305,"Nuuanu to Kalihi PUMA, HI",2018,2018,119941,nuuanu-to-kalihi-puma-hi,
79500US1500306,"Moanalua to Pearl City PUMA, HI",2018,2018,151026,moanalua-to-pearl-city-puma-hi,
79500US1500307,"Central Oahu PUMA, HI",2018,2018,145066,central-oahu-puma-hi,
79500US1500308,"Ewa PUMA, HI",2018,2018,126462,ewa-puma-hi,
79500US1600100,"Bonner, Latah, Shoshone, Boundary, Benewah & Kootenai (Southeast) Counties PUMA, ID",2018,2018,120931,bonner-latah-shoshone-boundary-benewah-kootenai-southeast-counties-puma-id,
79500US1600200,"Coeur d'Alene, Post Falls & Hayden Cities PUMA, ID",2018,2018,147659,coeur-dalene-post-falls-hayden-cities-puma-id,
79500US1600300,"Lewiston City & Nez Perce Reservation PUMA, ID",2018,2018,106299,lewiston-city-nez-perce-reservation-puma-id,
79500US1600400,"Eagle City PUMA, ID",2018,2018,119876,eagle-city-puma-id,
79500US1600500,"Caldwell & Nampa (South & West) Cities PUMA, ID",2018,2018,123420,caldwell-nampa-south-west-cities-puma-id,
79500US1600600,"Nampa (Central & East) & Meridian (West) Cities PUMA, ID",2018,2018,131508,nampa-central-east-meridian-west-cities-puma-id,
79500US1600701,"Meridian (Northeast) & Boise (Far West) Cities PUMA, ID",2018,2018,124960,meridian-northeast-boise-far-west-cities-puma-id,
79500US1600702,"Boise (North & West) & Garden City Cities PUMA, ID",2018,2018,103254,boise-north-west-garden-city-cities-puma-id,
79500US1600800,"Boise (South) & Kuna Cities PUMA, ID",2018,2018,116766,boise-south-kuna-cities-puma-id,
79500US1600900,"Twin Falls City PUMA, ID",2018,2018,107405,twin-falls-city-puma-id,
79500US1601000,"Elmore, Jerome, Blaine, Minidoka, Gooding, Lincoln & Camas Counties PUMA, ID",2018,2018,113872,elmore-jerome-blaine-minidoka-gooding-lincoln-camas-counties-puma-id,
79500US1601100,"Bingham (Outside Fort Hall AIR), Madison, Jefferson, Fremont & Teton Counties PUMA, ID",2018,2018,133337,bingham-outside-fort-hall-air-madison-jefferson-fremont-teton-counties-puma-id,
79500US1601200,"Idaho Falls City PUMA, ID",2018,2018,112352,idaho-falls-city-puma-id,
79500US1601300,"Pocatello, Chubbuck Cities & Fort Hall Reservation PUMA, ID",2018,2018,126170,pocatello-chubbuck-cities-fort-hall-reservation-puma-id,
